"","time","city","loan"
"1060","2006","LINCOLNWOOD",210846
"1061","2006","LA GRANGE",293596
"1062","2006","FRANKFORT",268564
"1063","2006","OKOBOJI",351656
"1064","2006","GRAND RAPIDS",372964
"1065","2006","SPRINGFIELD",258458
"1066","2006","DENMARK",306936
"1067","2006","REINBECK",282354
"1068","2006","MUSCATINE",308044
"1069","2006","EATONTON",260060
"1070","2006","MINNEAPOLIS",252913
"1071","2006","BLYTHEVILLE",219748
"1072","2006","MALAD CITY",120695
"1073","2006","SALISBURY",244148
"1074","2006","OPELOUSAS",84218
"1075","2006","EFFINGHAM",288936
"1076","2006","JENNINGS",240355
"1077","2006","LUBBOCK",322960
"1078","2006","PROVO",348185
"1079","2006","SCHAUMBURG",323355
"1080","2006","HOLLY SPRINGS",38073
"1081","2006","RAWLINS",97970
"1082","2006","EBENSBURG",129841
"1083","2006","SPOKANE",219279
"1084","2006","ALVA",110197
"1085","2006","CHANUTE",146301
"1086","2006","CLAYTON",352941
"1087","2006","CHARLESTON",162656
"1088","2006","WINTER PARK",321427
"1089","2006","BOCA RATON",312422
"1090","2006","KIRKSVILLE",234902
"1091","2006","TACOMA",201208
"1092","2006","ANN ARBOR",329613
"1093","2006","LOUISVILLE",275450
"1094","2006","JACKSON",230380
"1095","2006","CHICAGO",352328
"1096","2006","SARASOTA",379024
"1097","2006","ATLANTA",181306
"1098","2006","FORT LAUDERDALE",161334
"1099","2006","JACKSONVILLE",283627
"1100","2006","ALBANY",225631
"1101","2006","TULSA",379975
"1102","2006","DAVIE",245428
"1103","2006","TAPPAHANNOCK",196891
"1104","2006","SEATTLE",292449
"1105","2006","NEW CASTLE",251888
"1106","2006","PEACHTREE CITY",254842
"1107","2006","VANCOUVER",188805
"1108","2006","RENO",288436
"1109","2006","FLORENCE",360122
"1110","2006","EARTH CITY",344658
"1111","2006","DALLAS",152871
"1112","2006","EVANSVILLE",212712
"1113","2006","PHOENIX",380141
"1114","2006","CORDOVA",55420
"1115","2006","MINNETONKA",274639
"1116","2006","CARMEL",178203
"1117","2007","ENID",378937
"1118","2007","CASPER",213359
"1119","2007","PIERCE",248509
"1120","2007","GOODLAND",225465
"1121","2007","TIMBERVILLE",317180
"1122","2007","WARRENTON",413299
"1123","2007","HAWKINSVILLE",300921
"1124","2007","MOULTRIE",119008
"1125","2007","INVERNESS",330177
"1126","2007","GAINESVILLE",256756
"1127","2007","DOUGLASVILLE",314956
"1128","2007","CRAWFORDVILLE",358864
"1129","2007","NATCHEZ",223353
"1130","2007","REFORM",292422
"1131","2007","PELL CITY",217715
"1132","2007","LAVONIA",208793
"1133","2007","MCMINNVILLE",174970
"1134","2007","BARTLETT",321452
"1135","2007","DEMING",156396
"1136","2007","AMARILLO",251572
"1137","2007","MIDLAND",250011
"1138","2007","BLOOMSBURG",161575
"1139","2007","NEW RICHMOND",309189
"1140","2007","LIVINGSTON",418891
"1141","2007","ROCHESTER",276867
"1142","2007","MANISTIQUE",355426
"1143","2007","SAINT MICHAEL",326042
"1144","2007","HUDSON",168254
"1145","2007","FORT WALTON BEACH",210329
"1146","2007","CORTLAND",223109
"1147","2007","CHATTANOOGA",383594
"1148","2007","PETERSBURG",310199
"1149","2007","HALLS",169077
"1150","2007","WATERLOO",144949
"1151","2007","MEDFORD",359156
"1152","2007","PATTEN",323907
"1153","2007","LAFAYETTE",227438
