"","co","name","time","city","loan","atot"
"280","1081538","SOUTHWEST GA FC","2001","MOULTRIE",121549,"234844"
"281","1081613","BPC CORP","2001","COOKEVILLE",155881,"326620"
"282","1081622","SOUTH BKG CO","2001","ALMA",172090,"224791"
"283","1081716","FIRST VOLUNTEER CORP","2001","CHATTANOOGA",313391,"437545"
"284","1081873","COMMUNITY BSHRS","2001","LAGRANGE",455790,"647759"
"285","1081921","FIRST BK","2001","CARNESVILLE",175743,"238769"
"286","1082058","SOUTHEASTERN BKG CORP","2001","DARIEN",163349,"355216"
"287","1082067","AMERIS BC","2001","MOULTRIE",805076,"1176886"
"288","1082209","BANCINDEPENDENT","2001","SHEFFIELD",246537,"367289"
"289","1082375","BRANNEN BK OF FL","2001","INVERNESS",253223,"449970"
"290","1082393","FIRST PULASKI NAT CORP","2001","PULASKI",208917,"363632"
"291","1082478","TWIN CITIES FNCL SVC","2001","MARYVILLE",173828,"298308"
"292","1082508","CENTRAL BK SHARES","2001","ORLANDO",110464,"247515"
"293","1082692","FIRST SW CORP","2001","MCCOMB",120675,"207917"
"294","1082731","EXECUTIVE BKG CORP","2001","MIAMI",138153,"241344"
"295","1082777","UNITED BC","2001","BARNESVILLE",340500,"484752"
"296","1082816","NBANK CORP","2001","COMMERCE",223262,"252002"
"297","1082852","THORNTON HC","2001","DOUGLASVILLE",142496,"176622"
"298","1082870","CARTER CTY BC","2001","ELIZABETHTON",139964,"188866"
"299","1083185","ANDREW JOHNSON BSHRS","2001","GREENEVILLE",138622,"176722"
"300","1083336","CAMERON BSHRS","2001","LAKE CHARLES",172946,"323336"
"301","1083354","UNITED FNCL HOLD","2001","SAINT PETERSBURG",246155,"344192"
"302","1083475","CITIZENS HC","2001","PHILADELPHIA",264278,"427212"
"303","1083587","FIRST ST CORP","2001","WAYNESBORO",139240,"266107"
"304","1083635","AMERICAN GATEWAY FNCL CORP","2001","PORT ALLEN",127784,"188164"
"305","1083680","BLOSSMAN BSHRS","2001","LACOMBE",172651,"231407"
"306","1083729","ONE AMER CORP","2001","VACHERIE",247864,"433578"
"307","1083783","FIRST FARMERS & MRCH CORP","2001","COLUMBIA",515178,"821491"
"308","1083840","FIRST ALACHUA BKG CORP","2001","ALACHUA",129281,"186746"
"309","1083895","UNITED BC OF AL","2001","ATMORE",149392,"219955"
"310","1083934","PAB BSHRS","2001","VALDOSTA",637826,"859224"
"311","1084061","BANCSOUTH CORP","2001","DOTHAN",178277,"209759"
"312","1084128","FMB BKG CORP","2001","MONTICELLO",132079,"208164"
"313","1084155","WAKULLA BC","2001","CRAWFORDVILLE",136187,"196249"
"314","1084212","BRITTON & KOONTZ CAP CORP","2001","NATCHEZ",185127,"298856"
"315","1084511","COMMUNITY BK OF S FL","2001","HOMESTEAD",201325,"324072"
"316","1084575","PRIORITYONE CAP CORP","2001","MAGEE",161418,"234731"
"317","1084623","HENRY CTY BSHRS","2001","STOCKBRIDGE",306330,"496252"
"318","1084669","FNB BKG CO","2001","GRIFFIN",177296,"246153"
"319","1084780","BARTOW BSHRS","2001","CARTERSVILLE",179485,"225795"
"320","1084959","PINNACLE FC","2001","ELBERTON",179279,"311204"
"321","1085004","KISLAK FC","2001","MIAMI LAKES",280374,"527702"
"322","1085013","SEACOAST BKG CORP OF FL","2001","STUART",804162,"1225964"
"323","1085170","COLONY BC","2001","FITZGERALD",459914,"620082"
"324","1085228","LIBERTY BC OF GA","2001","CLAYTON",113054,"156045"
"325","1085255","WEST AL CAP CORP","2001","REFORM",193014,"322359"
"326","1085330","SEQUATCHIE VALLEY BSHRS","2001","DUNLAP",161575,"227019"
"327","1085358","UNION BSHRS","2001","PELL CITY",160914,"257837"
"328","1085488","FCB CORP","2001","MANCHESTER",113468,"195700"
"329","1085509","CAPITAL CITY BK GRP","2001","TALLAHASSEE",1246892,"1819392"
"330","1085572","FIRST SCTY BSHRS","2001","LAVONIA",145983,"238968"
"331","1085611","PEOPLES HC","2001","WINDER",102956,"214884"
"332","1085826","COLUMBIANA BSHRS","2001","COLUMBIANA",136376,"215998"
"333","1085844","FIRST OF HMSTD","2001","HOMESTEAD",89116,"193270"
"334","1085880","NBN CORP","2001","NEWPORT",161343,"236778"
"335","1085899","DICKSON FC","2001","DICKSON",82689,"158910"
"336","1086001","N W SVC CORP","2001","RINGGOLD",236130,"364722"
"337","1086122","FIRST FARMERS BSHRS","2001","PORTLAND",141351,"246565"
"338","1086131","FIRST NAT BKR BSHRS","2001","BATON ROUGE",41605,"200219"
"339","1086168","UNITED SCTY BSHRS","2001","THOMASVILLE",339690,"524146"
"340","1086243","FIRST HARALSON CORP","2001","BUCHANAN",96242,"163983"
"341","1086270","CNB BSHRS","2001","SEVIERVILLE",254242,"377861"
"342","1086298","SOUTH LA FC","2001","HOUMA",109245,"178290"
